Size,aes11,aes12,aes14,rocca11,rocca13,rocca16
0,0.8256252377789872,0.8561555204404164,0.9417446359912943,2.1907932894727047,1.8564328976595494,1.8972908910090127
1,0.8301651403454061,0.8593251709879353,0.944207941387156,2.1926602531362214,1.8573540832680657,1.8975780937306563
2,0.834705076237715,0.8624948999410845,0.9466712439760381,2.1945271581206853,1.8582753357596562,1.897865372133889
3,0.8392450454275956,0.8656647072585009,0.9491345437406141,2.1963940044306733,1.8591966551090102,1.898152726208745
4,0.8437850478867295,0.8688345928988205,0.9515978406635578,2.1982607920707613,1.8601180412908174,1.8984401559452588
5,0.8483250835867986,0.8720045568206799,0.9540611347275426,2.2001275210455256,1.8610394942797674,1.8987276613334645
6,0.8528651524994844,0.8751745989827154,0.9565244259152423,2.201994191359543,1.8619610140505496,1.8990152423633961
7,0.8574052545964687,0.8783447193435635,0.9589877142093305,2.2038608030173896,1.8628826005778538,1.8993028990250882
8,0.8619453898494331,0.8815149178618605,0.9614509995924808,2.205727356023642,1.8638042538363695,1.8995906313085746
9,0.8664855582300596,0.8846851944962429,0.963914282047367,2.2075938503828767,1.8647259738007862,1.89987843920389
10,0.8710257597100295,0.887855549205347,0.9663775615566624,2.20946028609967,1.8656477604457933,1.9001663227010683
11,0.8755659942610248,0.8910259819478094,0.9688408381030409,2.211326663178599,1.8665696137460808,1.9004542817901438
12,0.8801062618547268,0.8941964926822662,0.9713041116691761,2.2131929816242386,1.867491533676338,1.9007423164611505
13,0.8846465624628178,0.8973670813673541,0.9737673822377415,2.2150592414411667,1.8684135202112544,1.9010304267041231
14,0.889186896056979,0.9005377479617093,0.9762306497914108,2.2169254426339595,1.8693355733255197,1.9013186125090955
15,0.8937272626088923,0.9037084924239682,0.9786939143128577,2.2187915852071924,1.8702576929938235,1.901606873866102
16,0.8982676620902393,0.9068793147127674,0.9811571757847558,2.220657669165443,1.8711798791908554,1.9018952107651768
17,0.9028080944727019,0.9100502147867431,0.9836204341897786,2.222523694513287,1.8721021318913047,1.902183623196354
18,0.9073485597279616,0.9132211926045317,0.9860836895106,2.2243896612553016,1.8730244510698613,1.902472111149668
19,0.9118890578277001,0.9163922481247697,0.9885469417298934,2.2262555693960624,1.8739468367012144,1.9027606746151533
20,0.9164295887435993,0.9195633813060936,0.9910101908303325,2.2281214189401464,1.874869288760054,1.9030493135828435
21,0.9209701524473406,0.9227345921071396,0.993473436794591,2.2299872098921294,1.8757918072210693,1.9033380280427732
22,0.9255107489106059,0.9259058804865441,0.9959366796053424,2.2318529422565883,1.87671439205895,1.9036268179849765
23,0.9300513781050769,0.9290772464029436,0.9983999192452604,2.2337186160380997,1.8776370432483858,1.9039156833994877
24,0.9345920400024352,0.9322486898149747,1.0008631556970187,2.2355842312412397,1.8785597607640663,1.9042046242763409
25,0.9391327345743626,0.9354202106812733,1.0033263889432906,2.2374497878705846,1.8794825445806806,1.9044936406055706
26,0.9436734617925407,0.9385918089604762,1.0057896189667503,2.2393152859307115,1.880405394672919,1.9047827323772106
27,0.9482142216286513,0.9417634846112197,1.008252845750071,2.241180725426196,1.8813283110154704,1.9050718995812956
28,0.9527550140543761,0.9449352375921403,1.0107160692759265,2.2430461063616147,1.8822512935830247,1.9053611422078596
29,0.9572958390413967,0.948107067861874,1.0131792895269904,2.2449114287415446,1.8831743423502714,1.9056504602469366
30,0.9618366965613948,0.9512789753790577,1.0156425064859365,2.246776692570562,1.8840974572919,1.9059398536885612
31,0.9663775865860522,0.9544509601023277,1.018105720135438,2.2486418978532425,1.8850206383826003,1.9062293225227673
32,0.9709185090870505,0.9576230219903201,1.0205689304581689,2.2505070445941633,1.8859438855970614,1.9065188667395894
33,0.9754594640360714,0.9607951610016715,1.0230321374368025,2.252372132797901,1.8868671989099735,1.9068084863290615
34,0.9800004514047967,0.9639673770950183,1.0254953410540129,2.2542371624690314,1.8877905782960258,1.907098181281218
35,0.9845414711649081,0.967139670228997,1.0279585412924734,2.256102133612131,1.8887140237299078,1.907387951586093
36,0.9890825232880871,0.9703120403622438,1.0304217381348577,2.2579670462317765,1.8896375351863093,1.9076777972337209
37,0.9936236077460157,0.9734844874533953,1.0328849315638395,2.2598319003325447,1.8905611126399198,1.9079677182141355
38,0.9981647245103752,0.9766570114610879,1.0353481215620923,2.261696695919011,1.8914847560654287,1.9082577145173716
39,1.0027058735528476,0.9798296123439577,1.03781130811229,2.2635614329957527,1.8924084654375257,1.908547786133463
40,1.0072470548451147,0.9830022900606414,1.0402744911971058,2.265426111567346,1.8933322407309003,1.908837933052444
41,1.0117882683588577,0.9861750445697753,1.0427376707992138,2.2672907316383673,1.8942560819202423,1.909128155264349
42,1.0163295140657589,0.9893478758299958,1.0452008469012872,2.2691552932133927,1.895179988980241,1.9094184527592122
43,1.0208707919374997,0.9925207837999394,1.0476640194859999,2.2710197962969993,1.8961039618855862,1.9097088255270676
44,1.0254121019457618,0.9956937684382423,1.0501271885360255,2.272884240893763,1.8970280006109672,1.9099992735579494
45,1.0299534440622269,0.9988668297035411,1.0525903540340376,2.2747486270082606,1.8979521051310737,1.9102897968418922
46,1.0344948182585767,1.0020399675544722,1.05505351596271,2.276612954645068,1.8988762754205952,1.91058039536893
47,1.0390362245064928,1.0052131819496717,1.0575166743047157,2.2784772238087623,1.8998005114542216,1.9108710691290969
48,1.0435776627776572,1.0083864728477765,1.0599798290427291,2.280341434503919,1.900724813206642,1.9111618181124272
49,1.0481191330437514,1.0115598402074224,1.0624429801594237,2.282205586735116,1.9016491806525464,1.9114526423089553
50,1.052660635276457,1.0147332839872465,1.0649061276374727,2.284069680506928,1.902573613766624,1.9117435417087152
51,1.0572021694474558,1.0179068041458845,1.0673692714595502,2.2859337158239326,1.9034981125235646,1.9120345163017411
52,1.0617437355284296,1.0210804006419734,1.0698324116083293,2.287797692690706,1.9044226768980577,1.9123255660780676
53,1.06628533349106,1.0242540734341492,1.0722955480664842,2.2896616111118244,1.9053473068647926,1.9126166910277285
54,1.0708269633070286,1.0274278224810485,1.0747586808166882,2.291525471091864,1.9062720023984594,1.9129078911407582
55,1.0753686249480174,1.0306016477413076,1.077221809841615,2.293389272635402,1.9071967634737472,1.913199166407191
56,1.0799103183857077,1.0337755491735627,1.0796849351239384,2.2952530157470146,1.908121590065346,1.9134905168170608
57,1.0844520435917815,1.0369495267364508,1.0821480566463317,2.297116700431278,1.909046482147945,1.913781942360402
58,1.0889938005379205,1.0401235803886077,1.084611174391469,2.298980326692768,1.909971439696234,1.9140734430272492
59,1.093535589195806,1.0432977100886702,1.0870742883420235,2.3008438945360625,1.9108964626849023,1.9143650188076362
60,1.0980774095371204,1.0464719157952747,1.0895373984806689,2.3027074039657367,1.9118215510886398,1.9146566696915972
61,1.1026192615335448,1.049646197467057,1.092000504790079,2.304570854986368,1.9127467048821358,1.9149483956691666
62,1.107161145156761,1.0528205550626544,1.0944636072529272,2.3064342476025317,1.9136719240400801,1.9152401967303785
63,1.1117030603784508,1.0559949885407025,1.0969267058518872,2.3082975818188047,1.914597208537162,1.9155320728652674
64,1.116245007170296,1.0591694978598383,1.099389800569633,2.310160857639764,1.9155225583480713,1.915824024063867
65,1.120786985503978,1.0623440829786979,1.101852891388838,2.3120240750699854,1.9164479734474975,1.916116050316212
66,1.125328995351179,1.0655187438559177,1.1043159782921754,2.3138872341140453,1.9173734538101301,1.9164081516123364
67,1.1298710366835802,1.0686934804501342,1.1067790612623194,2.3157503347765207,1.9182989994106587,1.9167003279422745
68,1.1344131094728633,1.0718682927199839,1.1092421402819435,2.3176133770619876,1.9192246102237729,1.9169925792960605
69,1.1389552136907104,1.0750431806241028,1.111705215333721,2.319476360975022,1.9201502862241624,1.9172849056637287
70,1.143497349308803,1.0782181441211276,1.114168286400326,2.3213392865202014,1.9210760273865166,1.917577307035313
71,1.1480395162988226,1.0813931831696948,1.1166313534644319,2.3232021537021015,1.922001833685525,1.917869783400848
72,1.1525817146324513,1.0845682977284405,1.1190944165087124,2.325064962525299,1.9229277050958773,1.918162334750368
73,1.1571239442813703,1.0877434877560015,1.121557475515841,2.3269277129943697,1.923853641592263,1.9184549610739068
74,1.161666205217262,1.0909187532110138,1.1240205304684914,2.328790405113891,1.9247796431493718,1.9187476623614987
75,1.1662084974118074,1.0940940940521142,1.1264835813493375,2.330653038888439,1.925705709741893,1.9190404386031783
76,1.1707508208366884,1.0972695102379388,1.1289466281410525,2.3325156143225896,1.9266318413445165,1.9193332897889794
77,1.175293175463587,1.100445001727124,1.1314096708263102,2.33437813142092,1.9275580379319317,1.9196262159089366
78,1.1798355612641844,1.1036205684783063,1.1338727093877843,2.3362405901880057,1.928484299478828,1.9199192169530839
79,1.1843779782101627,1.1067962104501219,1.1363357438081483,2.3381029906284243,1.9294106259598955,1.9202122929114553
